date,value
7/1/1991,3.526591
8/1/1991,3.180891
9/1/1991,3.252221
10/1/1991,3.611003
11/1/1991,3.565869
12/1/1991,4.306371
1/1/1992,
2/1/1992,
3/1/1992,2.985811
4/1/1992,3.20478
5/1/1992,3.127578
6/1/1992,3.270523
7/1/1992,3.73785082
8/1/1992,
9/1/1992,
10/1/1992,3.92449042
11/1/1992,4.38653092
12/1/1992,5.81054917
1/1/1993,6.19206769
2/1/1993,
3/1/1993,
4/1/1993,3.7343029
5/1/1993,3.90539892
6/1/1993,4.04968714
7/1/1993,4.31556552
8/1/1993,4.56218455
9/1/1993,
10/1/1993,4.66785129
11/1/1993,5.09384145
12/1/1993,7.1799622
1/1/1994,6.73147308
2/1/1994,
3/1/1994,4.39407557
4/1/1994,4.07534073
5/1/1994,4.5406449
6/1/1994,
7/1/1994,4.75260653
8/1/1994,5.35060467
9/1/1994,
10/1/1994,5.3016513
11/1/1994,5.77374216
12/1/1994,6.20459348
1/1/1995,
2/1/1995,4.21606735
3/1/1995,4.94934946
4/1/1995,4.8230449
5/1/1995,5.19475419
6/1/1995,5.17078711
7/1/1995,5.25674157
8/1/1995,
9/1/1995,5.49072901
10/1/1995,
11/1/1995,6.08847284
12/1/1995,7.41659792
1/1/1996,8.32945212
2/1/1996,5.06979585
3/1/1996,
4/1/1996,5.59712628
5/1/1996,6.110296
6/1/1996,5.68916084
7/1/1996,
8/1/1996,6.30056933
9/1/1996,6.46747574
10/1/1996,
11/1/1996,6.64907826
12/1/1996,8.60693721
1/1/1997,8.52447101
2/1/1997,
3/1/1997,5.71430345
4/1/1997,6.21452908
5/1/1997,6.41192919
6/1/1997,
7/1/1997,7.05083102
8/1/1997,6.70491861
9/1/1997,7.25098761
10/1/1997,7.81973318
11/1/1997,
12/1/1997,10.09623339
1/1/1998,8.79851303
2/1/1998,5.91826076
3/1/1998,
4/1/1998,6.67573561
5/1/1998,7.06420058
6/1/1998,7.38338118
7/1/1998,
8/1/1998,7.43189221
9/1/1998,8.27511722
10/1/1998,8.26044138
11/1/1998,8.59615575
12/1/1998,10.55893902
1/1/1999,10.3914156
2/1/1999,
3/1/1999,8.06261937
4/1/1999,7.2977391
5/1/1999,
6/1/1999,8.16532298
7/1/1999,8.71742046
8/1/1999,
9/1/1999,9.17711337
10/1/1999,9.25188674
